Number of tracking points : 15668
Max speed : 103(old) -> 103(new)
Damage : 0(old) -> 0(new)
Total Time taken old tracking file : 12:51:49
Total Time taken new tracking file : 12:51:49

 | No    | X                      | Y                        | Heading    | Speed      | Damage | Date and Time                                  | 
 | 61    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:41:58 PM -> 12/7/2020 7:57:28 PM   | 
 | 63    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:00 PM -> 12/7/2020 7:57:30 PM   | 
 | 65    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:02 PM -> 12/7/2020 7:57:32 PM   | 
 | 67    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:04 PM -> 12/7/2020 7:57:34 PM   | 
 | 69    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:06 PM -> 12/7/2020 7:57:36 PM   | 
 | 71    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:08 PM -> 12/7/2020 7:57:38 PM   | 
 | 73    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:10 PM -> 12/7/2020 7:57:40 PM   | 
 | 75    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:12 PM -> 12/7/2020 7:57:42 PM   | 
 | 77    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:14 PM -> 12/7/2020 7:57:44 PM   | 
 | 79    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:16 PM -> 12/7/2020 7:57:46 PM   | 
 | 81    | 138569.6 -> 138569.6   | 79873.1 -> 79873.1       | 50 -> 50   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:18 PM -> 12/7/2020 7:57:48 PM   | 
 | 83    | 138569.7 -> 138569.7   | 79873.55 -> 79873.55     | 50 -> 50   | 4 -> 4     | 0 -> 0 | 12/5/2020 7:42:20 PM -> 12/7/2020 7:57:50 PM   | 
 | 85    | 138571.3 -> 138571.3   | 79881.6 -> 79881.6       | 54 -> 54   | 21 -> 21   | 0 -> 0 | 12/5/2020 7:42:22 PM -> 12/7/2020 7:57:52 PM   | 
 | 87    | 138573.7 -> 138573.7   | 79889.48 -> 79889.48     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:24 PM -> 12/7/2020 7:57:54 PM   | 
 | 89    | 138573.7 -> 138573.7   | 79889.48 -> 79889.48     | 55 -> 55   | 0 -> 0     | 0 -> 0 | 12/5/2020 7:42:26 PM -> 12/7/2020 7:57:56 PM   | 
