Number of tracking points : 15668
Max speed : 103(old) -> 103(new)
Damage : 0(old) -> 0(new)
Total Time taken old tracking file : 12:51:49
Total Time taken new tracking file : 12:51:49

 | No    | X                      | Y                        | Heading    | Speed      | Damage | Date and Time                                  | 
 | 1607  | 118740.9 -> 118740.9   | 88300.94 -> 88300.94     | 21 -> 21   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:27:02 PM -> 12/7/2020 8:42:32 PM   | 
 | 1609  | 118685.1 -> 118685.1   | 88285.64 -> 88285.64     | 21 -> 21   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:27:04 PM -> 12/7/2020 8:42:34 PM   | 
 | 1611  | 118632.1 -> 118632.1   | 88270.6 -> 88270.6       | 21 -> 21   | 100 -> 100 | 0 -> 0 | 12/5/2020 8:27:06 PM -> 12/7/2020 8:42:36 PM   | 
 | 1613  | 118578.2 -> 118578.2   | 88257.08 -> 88257.08     | 21 -> 21   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:27:08 PM -> 12/7/2020 8:42:38 PM   | 
 | 1615  | 118524.4 -> 118524.4   | 88243.23 -> 88243.23     | 21 -> 21   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:27:10 PM -> 12/7/2020 8:42:40 PM   | 
 | 1617  | 118476.3 -> 118476.3   | 88230.68 -> 88230.68     | 19 -> 19   | 72 -> 72   | 0 -> 0 | 12/5/2020 8:27:12 PM -> 12/7/2020 8:42:42 PM   | 
 | 1619  | 118444.3 -> 118444.3   | 88214.38 -> 88214.38     | 20 -> 20   | 57 -> 57   | 0 -> 0 | 12/5/2020 8:27:14 PM -> 12/7/2020 8:42:44 PM   | 
 | 1621  | 118419.3 -> 118419.3   | 88224.77 -> 88224.77     | 40 -> 40   | 51 -> 51   | 0 -> 0 | 12/5/2020 8:27:16 PM -> 12/7/2020 8:42:46 PM   | 
 | 1623  | 118416.9 -> 118416.9   | 88254.49 -> 88254.49     | 51 -> 51   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:27:18 PM -> 12/7/2020 8:42:48 PM   | 
 | 1625  | 118411.2 -> 118411.2   | 88290.41 -> 88290.41     | 46 -> 46   | 68 -> 68   | 0 -> 0 | 12/5/2020 8:27:20 PM -> 12/7/2020 8:42:50 PM   | 
 | 1627  | 118401.4 -> 118401.4   | 88328.8 -> 88328.8       | 46 -> 46   | 69 -> 69   | 0 -> 0 | 12/5/2020 8:27:22 PM -> 12/7/2020 8:42:52 PM   | 
 | 1629  | 118391.6 -> 118391.6   | 88364.88 -> 88364.88     | 46 -> 46   | 66 -> 66   | 0 -> 0 | 12/5/2020 8:27:24 PM -> 12/7/2020 8:42:54 PM   | 
 | 1631  | 118380.6 -> 118380.6   | 88398.95 -> 88398.95     | 44 -> 44   | 63 -> 63   | 0 -> 0 | 12/5/2020 8:27:26 PM -> 12/7/2020 8:42:56 PM   | 
 | 1633  | 118370.4 -> 118370.4   | 88433.14 -> 88433.14     | 47 -> 47   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:27:28 PM -> 12/7/2020 8:42:58 PM   | 
 | 1635  | 118366.6 -> 118366.6   | 88466.75 -> 88466.75     | 49 -> 49   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:27:30 PM -> 12/7/2020 8:43:00 PM   | 
 | 1637  | 118363.5 -> 118363.5   | 88499.7 -> 88499.7       | 48 -> 48   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:27:32 PM -> 12/7/2020 8:43:02 PM   | 
 | 1639  | 118360.8 -> 118360.8   | 88530.68 -> 88530.68     | 49 -> 49   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:27:34 PM -> 12/7/2020 8:43:04 PM   | 
 | 1641  | 118359.1 -> 118359.1   | 88565.63 -> 88565.63     | 50 -> 50   | 59 -> 59   | 0 -> 0 | 12/5/2020 8:27:36 PM -> 12/7/2020 8:43:06 PM   | 
 | 1643  | 118359.2 -> 118359.2   | 88598.79 -> 88598.79     | 50 -> 50   | 61 -> 61   | 0 -> 0 | 12/5/2020 8:27:38 PM -> 12/7/2020 8:43:08 PM   | 
 | 1645  | 118359.1 -> 118359.1   | 88636.91 -> 88636.91     | 50 -> 50   | 69 -> 69   | 0 -> 0 | 12/5/2020 8:27:40 PM -> 12/7/2020 8:43:10 PM   | 
 | 1647  | 118359.5 -> 118359.5   | 88676.91 -> 88676.91     | 51 -> 51   | 77 -> 77   | 0 -> 0 | 12/5/2020 8:27:42 PM -> 12/7/2020 8:43:12 PM   | 
 | 1649  | 118363.5 -> 118363.5   | 88722.62 -> 88722.62     | 52 -> 52   | 84 -> 84   | 0 -> 0 | 12/5/2020 8:27:44 PM -> 12/7/2020 8:43:14 PM   | 
 | 1651  | 118374.8 -> 118374.8   | 88769.04 -> 88769.04     | 56 -> 56   | 90 -> 90   | 0 -> 0 | 12/5/2020 8:27:46 PM -> 12/7/2020 8:43:16 PM   | 
 | 1653  | 118400.3 -> 118400.3   | 88814.01 -> 88814.01     | 60 -> 60   | 93 -> 93   | 0 -> 0 | 12/5/2020 8:27:48 PM -> 12/7/2020 8:43:18 PM   | 
 | 1655  | 118436.5 -> 118436.5   | 88852 -> 88852           | 63 -> 63   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:27:50 PM -> 12/7/2020 8:43:20 PM   | 
 | 1657  | 118475.7 -> 118475.7   | 88888.66 -> 88888.66     | 63 -> 63   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:27:52 PM -> 12/7/2020 8:43:22 PM   | 
 | 1659  | 118513.3 -> 118513.3   | 88927.24 -> 88927.24     | 62 -> 62   | 97 -> 97   | 0 -> 0 | 12/5/2020 8:27:54 PM -> 12/7/2020 8:43:24 PM   | 
 | 1661  | 118550.2 -> 118550.2   | 88968.52 -> 88968.52     | 62 -> 62   | 97 -> 97   | 0 -> 0 | 12/5/2020 8:27:56 PM -> 12/7/2020 8:43:26 PM   | 
 | 1663  | 118585.6 -> 118585.6   | 89010.57 -> 89010.57     | 61 -> 61   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:27:58 PM -> 12/7/2020 8:43:28 PM   | 
 | 1665  | 118618 -> 118618       | 89054.35 -> 89054.35     | 60 -> 60   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:00 PM -> 12/7/2020 8:43:30 PM   | 
 | 1667  | 118647.6 -> 118647.6   | 89101.2 -> 89101.2       | 59 -> 59   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:02 PM -> 12/7/2020 8:43:32 PM   | 
 | 1669  | 118674.7 -> 118674.7   | 89149.59 -> 89149.59     | 57 -> 57   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:04 PM -> 12/7/2020 8:43:34 PM   | 
 | 1671  | 118696 -> 118696       | 89197.77 -> 89197.77     | 56 -> 56   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:06 PM -> 12/7/2020 8:43:36 PM   | 
 | 1673  | 118715.1 -> 118715.1   | 89252.23 -> 89252.23     | 55 -> 55   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:08 PM -> 12/7/2020 8:43:38 PM   | 
 | 1675  | 118729.5 -> 118729.5   | 89304.85 -> 89304.85     | 54 -> 54   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:10 PM -> 12/7/2020 8:43:40 PM   | 
 | 1677  | 118739.3 -> 118739.3   | 89357.55 -> 89357.55     | 52 -> 52   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:12 PM -> 12/7/2020 8:43:42 PM   | 
 | 1679  | 118745.1 -> 118745.1   | 89414.54 -> 89414.54     | 51 -> 51   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:14 PM -> 12/7/2020 8:43:44 PM   | 
 | 1681  | 118745.9 -> 118745.9   | 89469.09 -> 89469.09     | 50 -> 50   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:16 PM -> 12/7/2020 8:43:46 PM   | 
 | 1683  | 118742.7 -> 118742.7   | 89525.37 -> 89525.37     | 49 -> 49   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:18 PM -> 12/7/2020 8:43:48 PM   | 
 | 1685  | 118735.9 -> 118735.9   | 89578.1 -> 89578.1       | 47 -> 47   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:20 PM -> 12/7/2020 8:43:50 PM   | 
 | 1687  | 118726 -> 118726       | 89632.68 -> 89632.68     | 47 -> 47   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:22 PM -> 12/7/2020 8:43:52 PM   | 
 | 1689  | 118713.6 -> 118713.6   | 89687.17 -> 89687.17     | 46 -> 46   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:24 PM -> 12/7/2020 8:43:54 PM   | 
 | 1691  | 118695.5 -> 118695.5   | 89738.6 -> 89738.6       | 44 -> 44   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:26 PM -> 12/7/2020 8:43:56 PM   | 
 | 1693  | 118676.8 -> 118676.8   | 89790.78 -> 89790.78     | 45 -> 45   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:28 PM -> 12/7/2020 8:43:58 PM   | 
 | 1695  | 118668.1 -> 118668.1   | 89844.83 -> 89844.83     | 49 -> 49   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:30 PM -> 12/7/2020 8:44:00 PM   | 
 | 1697  | 118668.8 -> 118668.8   | 89899.8 -> 89899.8       | 51 -> 51   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:32 PM -> 12/7/2020 8:44:02 PM   | 
 | 1699  | 118673.3 -> 118673.3   | 89955.07 -> 89955.07     | 52 -> 52   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:34 PM -> 12/7/2020 8:44:04 PM   | 
 | 1701  | 118679.5 -> 118679.5   | 90009.75 -> 90009.75     | 52 -> 52   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:36 PM -> 12/7/2020 8:44:06 PM   | 
 | 1703  | 118687.2 -> 118687.2   | 90063.25 -> 90063.25     | 53 -> 53   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:38 PM -> 12/7/2020 8:44:08 PM   | 
 | 1705  | 118698.3 -> 118698.3   | 90118.96 -> 90118.96     | 54 -> 54   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:40 PM -> 12/7/2020 8:44:10 PM   | 
 | 1707  | 118708.2 -> 118708.2   | 90172.09 -> 90172.09     | 52 -> 52   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:42 PM -> 12/7/2020 8:44:12 PM   | 
 | 1709  | 118712.3 -> 118712.3   | 90225.93 -> 90225.93     | 50 -> 50   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:44 PM -> 12/7/2020 8:44:14 PM   | 
 | 1711  | 118705.4 -> 118705.4   | 90281.2 -> 90281.2       | 46 -> 46   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:46 PM -> 12/7/2020 8:44:16 PM   | 
 | 1713  | 118691.6 -> 118691.6   | 90334.41 -> 90334.41     | 46 -> 46   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:48 PM -> 12/7/2020 8:44:18 PM   | 
 | 1715  | 118679.6 -> 118679.6   | 90388.56 -> 90388.56     | 47 -> 47   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:50 PM -> 12/7/2020 8:44:20 PM   | 
 | 1717  | 118666.7 -> 118666.7   | 90441.06 -> 90441.06     | 45 -> 45   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:52 PM -> 12/7/2020 8:44:22 PM   | 
 | 1719  | 118649.6 -> 118649.6   | 90492.89 -> 90492.89     | 45 -> 45   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:54 PM -> 12/7/2020 8:44:24 PM   | 
 | 1721  | 118631 -> 118631       | 90545.72 -> 90545.72     | 44 -> 44   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:28:56 PM -> 12/7/2020 8:44:26 PM   | 
 | 1723  | 118610.9 -> 118610.9   | 90594.36 -> 90594.36     | 43 -> 43   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:28:58 PM -> 12/7/2020 8:44:28 PM   | 
 | 1725  | 118586.7 -> 118586.7   | 90645.31 -> 90645.31     | 43 -> 43   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:29:00 PM -> 12/7/2020 8:44:30 PM   | 
 | 1727  | 118557.6 -> 118557.6   | 90693.04 -> 90693.04     | 40 -> 40   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:29:02 PM -> 12/7/2020 8:44:32 PM   | 
 | 1729  | 118523.4 -> 118523.4   | 90737.31 -> 90737.31     | 39 -> 39   | 99 -> 99   | 0 -> 0 | 12/5/2020 8:29:04 PM -> 12/7/2020 8:44:34 PM   | 
 | 1731  | 118489 -> 118489       | 90774.7 -> 90774.7       | 38 -> 38   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:29:06 PM -> 12/7/2020 8:44:36 PM   | 
 | 1733  | 118441.3 -> 118441.3   | 90809.24 -> 90809.24     | 33 -> 33   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:29:08 PM -> 12/7/2020 8:44:38 PM   | 
 | 1735  | 118389.7 -> 118389.7   | 90820.77 -> 90820.77     | 24 -> 24   | 89 -> 89   | 0 -> 0 | 12/5/2020 8:29:10 PM -> 12/7/2020 8:44:40 PM   | 
 | 1737  | 118346.2 -> 118346.2   | 90814.77 -> 90814.77     | 24 -> 24   | 69 -> 69   | 0 -> 0 | 12/5/2020 8:29:12 PM -> 12/7/2020 8:44:42 PM   | 
 | 1739  | 118317.6 -> 118317.6   | 90827.98 -> 90827.98     | 38 -> 38   | 54 -> 54   | 0 -> 0 | 12/5/2020 8:29:14 PM -> 12/7/2020 8:44:44 PM   | 
 | 1741  | 118303.1 -> 118303.1   | 90855.89 -> 90855.89     | 44 -> 44   | 58 -> 58   | 0 -> 0 | 12/5/2020 8:29:16 PM -> 12/7/2020 8:44:46 PM   | 
 | 1743  | 118285 -> 118285       | 90884.11 -> 90884.11     | 38 -> 38   | 67 -> 67   | 0 -> 0 | 12/5/2020 8:29:18 PM -> 12/7/2020 8:44:48 PM   | 
 | 1745  | 118250.8 -> 118250.8   | 90901.95 -> 90901.95     | 28 -> 28   | 73 -> 73   | 0 -> 0 | 12/5/2020 8:29:20 PM -> 12/7/2020 8:44:50 PM   | 
 | 1747  | 118208.3 -> 118208.3   | 90906.23 -> 90906.23     | 26 -> 26   | 76 -> 76   | 0 -> 0 | 12/5/2020 8:29:22 PM -> 12/7/2020 8:44:52 PM   | 
 | 1749  | 118166.2 -> 118166.2   | 90909.15 -> 90909.15     | 27 -> 27   | 83 -> 83   | 0 -> 0 | 12/5/2020 8:29:24 PM -> 12/7/2020 8:44:54 PM   | 
 | 1751  | 118122.1 -> 118122.1   | 90927.84 -> 90927.84     | 35 -> 35   | 87 -> 87   | 0 -> 0 | 12/5/2020 8:29:26 PM -> 12/7/2020 8:44:56 PM   | 
 | 1753  | 118092.4 -> 118092.4   | 90964.31 -> 90964.31     | 44 -> 44   | 83 -> 83   | 0 -> 0 | 12/5/2020 8:29:28 PM -> 12/7/2020 8:44:58 PM   | 
 | 1755  | 118081.4 -> 118081.4   | 91008.59 -> 91008.59     | 47 -> 47   | 79 -> 79   | 0 -> 0 | 12/5/2020 8:29:30 PM -> 12/7/2020 8:45:00 PM   | 
 | 1757  | 118073.9 -> 118073.9   | 91049.85 -> 91049.85     | 47 -> 47   | 75 -> 75   | 0 -> 0 | 12/5/2020 8:29:32 PM -> 12/7/2020 8:45:02 PM   | 
 | 1759  | 118069.2 -> 118069.2   | 91084.57 -> 91084.57     | 48 -> 48   | 50 -> 50   | 0 -> 0 | 12/5/2020 8:29:34 PM -> 12/7/2020 8:45:04 PM   | 
 | 1761  | 118064.9 -> 118064.9   | 91110.9 -> 91110.9       | 45 -> 45   | 47 -> 47   | 0 -> 0 | 12/5/2020 8:29:36 PM -> 12/7/2020 8:45:06 PM   | 
 | 1763  | 118046.1 -> 118046.1   | 91126.05 -> 91126.05     | 27 -> 27   | 40 -> 40   | 0 -> 0 | 12/5/2020 8:29:38 PM -> 12/7/2020 8:45:08 PM   | 
 | 1765  | 118021.8 -> 118021.8   | 91120.85 -> 91120.85     | 20 -> 20   | 47 -> 47   | 0 -> 0 | 12/5/2020 8:29:40 PM -> 12/7/2020 8:45:10 PM   | 
 | 1767  | 117995.9 -> 117995.9   | 91110.33 -> 91110.33     | 19 -> 19   | 58 -> 58   | 0 -> 0 | 12/5/2020 8:29:42 PM -> 12/7/2020 8:45:12 PM   | 
 | 1769  | 117968.3 -> 117968.3   | 91100.48 -> 91100.48     | 23 -> 23   | 55 -> 55   | 0 -> 0 | 12/5/2020 8:29:44 PM -> 12/7/2020 8:45:14 PM   | 
 | 1771  | 117941.9 -> 117941.9   | 91114.51 -> 91114.51     | 38 -> 38   | 51 -> 51   | 0 -> 0 | 12/5/2020 8:29:46 PM -> 12/7/2020 8:45:16 PM   | 
 | 1773  | 117927.4 -> 117927.4   | 91141.94 -> 91141.94     | 45 -> 45   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:29:48 PM -> 12/7/2020 8:45:18 PM   | 
 | 1775  | 117917.9 -> 117917.9   | 91174.28 -> 91174.28     | 46 -> 46   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:29:50 PM -> 12/7/2020 8:45:20 PM   | 
 | 1777  | 117910.6 -> 117910.6   | 91207.38 -> 91207.38     | 47 -> 47   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:29:52 PM -> 12/7/2020 8:45:22 PM   | 
 | 1779  | 117905.3 -> 117905.3   | 91238.56 -> 91238.56     | 48 -> 48   | 59 -> 59   | 0 -> 0 | 12/5/2020 8:29:54 PM -> 12/7/2020 8:45:24 PM   | 
 | 1781  | 117905.2 -> 117905.2   | 91273.43 -> 91273.43     | 54 -> 54   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:29:56 PM -> 12/7/2020 8:45:26 PM   | 
 | 1783  | 117922.5 -> 117922.5   | 91300.77 -> 91300.77     | 63 -> 63   | 57 -> 57   | 0 -> 0 | 12/5/2020 8:29:58 PM -> 12/7/2020 8:45:28 PM   | 
 | 1785  | 117946.3 -> 117946.3   | 91315.25 -> 91315.25     | 65 -> 65   | 47 -> 47   | 0 -> 0 | 12/5/2020 8:30:00 PM -> 12/7/2020 8:45:30 PM   | 
 | 1787  | 117957.3 -> 117957.3   | 91339.2 -> 91339.2       | 50 -> 50   | 53 -> 53   | 0 -> 0 | 12/5/2020 8:30:02 PM -> 12/7/2020 8:45:32 PM   | 
 | 1789  | 117945.6 -> 117945.6   | 91370.81 -> 91370.81     | 42 -> 42   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:30:04 PM -> 12/7/2020 8:45:34 PM   | 
 | 1791  | 117923.9 -> 117923.9   | 91394.48 -> 91394.48     | 35 -> 35   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:30:06 PM -> 12/7/2020 8:45:36 PM   | 
 | 1793  | 117893.4 -> 117893.4   | 91409.02 -> 91409.02     | 30 -> 30   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:30:08 PM -> 12/7/2020 8:45:38 PM   | 
 | 1795  | 117860.1 -> 117860.1   | 91419.09 -> 91419.09     | 29 -> 29   | 59 -> 59   | 0 -> 0 | 12/5/2020 8:30:10 PM -> 12/7/2020 8:45:40 PM   | 
 | 1797  | 117830.2 -> 117830.2   | 91426.63 -> 91426.63     | 29 -> 29   | 59 -> 59   | 0 -> 0 | 12/5/2020 8:30:12 PM -> 12/7/2020 8:45:42 PM   | 
 | 1799  | 117796.6 -> 117796.6   | 91436.46 -> 91436.46     | 30 -> 30   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:30:14 PM -> 12/7/2020 8:45:44 PM   | 
 | 1801  | 117765.1 -> 117765.1   | 91446.55 -> 91446.55     | 30 -> 30   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:30:16 PM -> 12/7/2020 8:45:46 PM   | 
 | 1803  | 117732.9 -> 117732.9   | 91457.05 -> 91457.05     | 30 -> 30   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:30:18 PM -> 12/7/2020 8:45:48 PM   | 
 | 1805  | 117700.8 -> 117700.8   | 91466.95 -> 91466.95     | 30 -> 30   | 60 -> 60   | 0 -> 0 | 12/5/2020 8:30:20 PM -> 12/7/2020 8:45:50 PM   | 
 | 1807  | 117667.5 -> 117667.5   | 91477.48 -> 91477.48     | 30 -> 30   | 67 -> 67   | 0 -> 0 | 12/5/2020 8:30:22 PM -> 12/7/2020 8:45:52 PM   | 
 | 1809  | 117631.5 -> 117631.5   | 91489.45 -> 91489.45     | 30 -> 30   | 75 -> 75   | 0 -> 0 | 12/5/2020 8:30:24 PM -> 12/7/2020 8:45:54 PM   | 
 | 1811  | 117586 -> 117586       | 91504.37 -> 91504.37     | 30 -> 30   | 84 -> 84   | 0 -> 0 | 12/5/2020 8:30:26 PM -> 12/7/2020 8:45:56 PM   | 
 | 1813  | 117540.7 -> 117540.7   | 91519.34 -> 91519.34     | 30 -> 30   | 91 -> 91   | 0 -> 0 | 12/5/2020 8:30:28 PM -> 12/7/2020 8:45:58 PM   | 
 | 1815  | 117491.9 -> 117491.9   | 91538.74 -> 91538.74     | 32 -> 32   | 95 -> 95   | 0 -> 0 | 12/5/2020 8:30:30 PM -> 12/7/2020 8:46:00 PM   | 
 | 1817  | 117445.8 -> 117445.8   | 91566.16 -> 91566.16     | 35 -> 35   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:30:32 PM -> 12/7/2020 8:46:02 PM   | 
 | 1819  | 117405.4 -> 117405.4   | 91603.73 -> 91603.73     | 39 -> 39   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:30:34 PM -> 12/7/2020 8:46:04 PM   | 
 | 1821  | 117374.1 -> 117374.1   | 91647.71 -> 91647.71     | 41 -> 41   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:30:36 PM -> 12/7/2020 8:46:06 PM   | 
 | 1823  | 117348.3 -> 117348.3   | 91695.13 -> 91695.13     | 42 -> 42   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:30:38 PM -> 12/7/2020 8:46:08 PM   | 
 | 1825  | 117314.9 -> 117314.9   | 91736.61 -> 91736.61     | 36 -> 36   | 97 -> 97   | 0 -> 0 | 12/5/2020 8:30:40 PM -> 12/7/2020 8:46:10 PM   | 
 | 1827  | 117269.5 -> 117269.5   | 91762.39 -> 91762.39     | 30 -> 30   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:30:42 PM -> 12/7/2020 8:46:12 PM   | 
 | 1829  | 117213.2 -> 117213.2   | 91770.11 -> 91770.11     | 24 -> 24   | 98 -> 98   | 0 -> 0 | 12/5/2020 8:30:44 PM -> 12/7/2020 8:46:14 PM   | 
 | 1831  | 117164.1 -> 117164.1   | 91750.2 -> 91750.2       | 14 -> 14   | 97 -> 97   | 0 -> 0 | 12/5/2020 8:30:46 PM -> 12/7/2020 8:46:16 PM   | 
 | 1833  | 117132.3 -> 117132.3   | 91704.69 -> 91704.69     | 8 -> 8     | 97 -> 97   | 0 -> 0 | 12/5/2020 8:30:48 PM -> 12/7/2020 8:46:18 PM   | 
 | 1835  | 117109.1 -> 117109.1   | 91658.56 -> 91658.56     | 7 -> 7     | 98 -> 98   | 0 -> 0 | 12/5/2020 8:30:50 PM -> 12/7/2020 8:46:20 PM   | 
 | 1837  | 117095.9 -> 117095.9   | 91603.84 -> 91603.84     | 5 -> 5     | 95 -> 95   | 0 -> 0 | 12/5/2020 8:30:52 PM -> 12/7/2020 8:46:22 PM   | 
 | 1839  | 117066.6 -> 117066.6   | 91566.61 -> 91566.61     | 16 -> 16   | 89 -> 89   | 0 -> 0 | 12/5/2020 8:30:54 PM -> 12/7/2020 8:46:24 PM   | 
 | 1841  | 117017.7 -> 117017.7   | 91560.35 -> 91560.35     | 28 -> 28   | 87 -> 87   | 0 -> 0 | 12/5/2020 8:30:56 PM -> 12/7/2020 8:46:26 PM   | 
 | 1843  | 116974.3 -> 116974.3   | 91582.73 -> 91582.73     | 36 -> 36   | 87 -> 87   | 0 -> 0 | 12/5/2020 8:30:58 PM -> 12/7/2020 8:46:28 PM   | 
 | 1845  | 116946.5 -> 116946.5   | 91623.23 -> 91623.23     | 42 -> 42   | 88 -> 88   | 0 -> 0 | 12/5/2020 8:31:00 PM -> 12/7/2020 8:46:30 PM   | 
 | 1847  | 116927.3 -> 116927.3   | 91668.25 -> 91668.25     | 44 -> 44   | 88 -> 88   | 0 -> 0 | 12/5/2020 8:31:02 PM -> 12/7/2020 8:46:32 PM   | 
 | 1849  | 116919.7 -> 116919.7   | 91716.99 -> 91716.99     | 51 -> 51   | 89 -> 89   | 0 -> 0 | 12/5/2020 8:31:04 PM -> 12/7/2020 8:46:34 PM   | 
 | 1851  | 116927.9 -> 116927.9   | 91765.93 -> 91765.93     | 53 -> 53   | 90 -> 90   | 0 -> 0 | 12/5/2020 8:31:06 PM -> 12/7/2020 8:46:36 PM   | 
 | 1853  | 116938.7 -> 116938.7   | 91806.85 -> 91806.85     | 55 -> 55   | 93 -> 93   | 0 -> 0 | 12/5/2020 8:31:08 PM -> 12/7/2020 8:46:38 PM   | 
 | 1855  | 116953.5 -> 116953.5   | 91857.73 -> 91857.73     | 54 -> 54   | 93 -> 93   | 0 -> 0 | 12/5/2020 8:31:10 PM -> 12/7/2020 8:46:40 PM   | 
 | 1857  | 116958.4 -> 116958.4   | 91909.3 -> 91909.3       | 49 -> 49   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:31:12 PM -> 12/7/2020 8:46:42 PM   | 
 | 1859  | 116940.4 -> 116940.4   | 91956.72 -> 91956.72     | 39 -> 39   | 95 -> 95   | 0 -> 0 | 12/5/2020 8:31:14 PM -> 12/7/2020 8:46:44 PM   | 
 | 1861  | 116899 -> 116899       | 91979.34 -> 91979.34     | 30 -> 30   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:31:16 PM -> 12/7/2020 8:46:46 PM   | 
 | 1863  | 116844.2 -> 116844.2   | 91981.46 -> 91981.46     | 23 -> 23   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:31:18 PM -> 12/7/2020 8:46:48 PM   | 
 | 1865  | 116791.5 -> 116791.5   | 91980.84 -> 91980.84     | 28 -> 28   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:31:20 PM -> 12/7/2020 8:46:50 PM   | 
 | 1867  | 116742.1 -> 116742.1   | 91999.13 -> 91999.13     | 33 -> 33   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:31:22 PM -> 12/7/2020 8:46:52 PM   | 
 | 1869  | 116703.3 -> 116703.3   | 92029.37 -> 92029.37     | 38 -> 38   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:31:24 PM -> 12/7/2020 8:46:54 PM   | 
 | 1871  | 116672.8 -> 116672.8   | 92077.58 -> 92077.58     | 42 -> 42   | 95 -> 95   | 0 -> 0 | 12/5/2020 8:31:26 PM -> 12/7/2020 8:46:56 PM   | 
 | 1873  | 116644.1 -> 116644.1   | 92120.22 -> 92120.22     | 39 -> 39   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:31:28 PM -> 12/7/2020 8:46:58 PM   | 
 | 1875  | 116605.2 -> 116605.2   | 92159.84 -> 92159.84     | 36 -> 36   | 96 -> 96   | 0 -> 0 | 12/5/2020 8:31:30 PM -> 12/7/2020 8:47:00 PM   | 
 | 1877  | 116560.5 -> 116560.5   | 92187.74 -> 92187.74     | 31 -> 31   | 95 -> 95   | 0 -> 0 | 12/5/2020 8:31:32 PM -> 12/7/2020 8:47:02 PM   | 
