Number of total tracking : 13229
Max speed : 100
Damage : 4
Time Taken : 03:40:28

 | No    | X         | Y          | Distance            | Speed (avg) | Speed (before) | Speed (after) | Heading | 
 | 64    | 18423.54  | 70812.13   | 5.85078308863387    | 22.5        | 34             | 11            | 10      | 
 | 65    | 18422.46  | 70810.64   | 1.84780489624049    | 5.5         | 11             | 0             | 10      | 
 | 66    | 19112.11  | 70497.45   | 757.441117801269    | 0           | 0              | 0             | 56      | 
 | 67    | 19112.47  | 70498.38   | 1.00262868611793    | 3.5         | 0              | 7             | 56      | 
 | 68    | 19113.82  | 70501.78   | 3.65805713303188    | 12          | 7              | 17            | 56      | 
 | 69    | 19116.24  | 70507.74   | 6.43194429229221    | 22          | 17             | 27            | 56      | 
 | 70    | 19119.3   | 70515.41   | 8.25401277920191    | 29.5        | 27             | 32            | 56      | 
 | 71    | 19122.75  | 70525.4    | 10.5720330731975    | 36.5        | 32             | 41            | 55      | 
 | 72    | 19126.36  | 70536.73   | 11.8868695818971    | 44          | 41             | 47            | 55      | 
 | 73    | 19130.63  | 70550.67   | 14.5854039638627    | 51          | 47             | 55            | 55      | 
 | 74    | 19135.73  | 70565.95   | 16.1041517697652    | 58.5        | 55             | 62            | 55      | 
 | 75    | 19142.05  | 70583.37   | 18.5302289453106    | 65          | 62             | 68            | 56      | 
 | 76    | 19148.62  | 70601.63   | 19.4120512075922    | 69          | 68             | 70            | 55      | 
 | 77    | 19154.55  | 70619.81   | 19.122296709478     | 71          | 70             | 72            | 55      | 
 | 78    | 19161.71  | 70639.61   | 21.051273874623     | 74          | 72             | 76            | 56      | 
 | 79    | 19169.53  | 70660.19   | 22.0153952397743    | 78.5        | 76             | 81            | 56      | 
 | 80    | 19176.85  | 70682.34   | 23.3262013116807    | 83.5        | 81             | 86            | 55      | 
 | 81    | 19182.99  | 70704.35   | 22.8564872664711    | 85          | 86             | 84            | 54      | 
 | 82    | 19187.64  | 70728.41   | 24.5066435233842    | 85          | 84             | 86            | 52      | 
 | 83    | 19189.64  | 70753.05   | 24.7145051072303    | 88          | 86             | 90            | 51      | 
 | 84    | 19189.51  | 70778.89   | 25.8441013741276    | 92          | 90             | 94            | 50      | 
 | 85    | 19188.99  | 70805.35   | 26.4659989513788    | 94.5        | 94             | 95            | 50      | 
 | 86    | 19188.77  | 70831.41   | 26.0634847404641    | 95.5        | 95             | 96            | 50      | 
 | 87    | 19188.83  | 70858.03   | 26.617265536029     | 97          | 96             | 98            | 50      | 
 | 88    | 19189.13  | 70886.47   | 28.4390292584391    | 98.5        | 98             | 99            | 50      | 
 | 89    | 19189.38  | 70915.36   | 28.8917066455172    | 99          | 99             | 99            | 50      | 
 | 90    | 19188.78  | 70945.08   | 29.7246417153136    | 99.5        | 99             | 100           | 49      | 
 | 91    | 19186.99  | 70975.34   | 30.3108883773411    | 100         | 100            | 100           | 49      | 
 | 92    | 19186.88  | 71001.15   | 25.8127317256548    | 86          | 100            | 72            | 52      | 
 | 93    | 19193.63  | 71014.41   | 14.8745764664051    | 58          | 72             | 44            | 62      | 
 | 94    | 19204.76  | 71019.74   | 12.3490377568662    | 45          | 44             | 46            | 70      | 
 | 95    | 19218.33  | 71021.43   | 13.6728940747433    | 49.5        | 46             | 53            | 74      | 
 | 96    | 19234.26  | 71021.69   | 15.9337265035304    | 56.5        | 53             | 60            | 75      | 
 | 97    | 19252.38  | 71021.91   | 18.1186040708594    | 63.5        | 60             | 67            | 75      | 
 | 98    | 19271.26  | 71022.28   | 18.8805239848793    | 68          | 67             | 69            | 75      | 
 | 99    | 19290.12  | 71022.83   | 18.8751115606182    | 68.5        | 69             | 68            | 74      | 
 | 100   | 19308.13  | 71023.8    | 18.0303720032393    | 68          | 68             | 68            | 74      | 
 | 101   | 19328     | 71022.62   | 19.910444024431     | 67          | 68             | 66            | 78      | 
 | 102   | 19342.25  | 71013.92   | 16.6917733996377    | 60.5        | 66             | 55            | 87      | 
 | 103   | 19348.71  | 70999.71   | 15.6099078724187    | 56          | 55             | 57            | 96      | 
 | 104   | 19349.56  | 70983.4    | 16.3349160705596    | 59          | 57             | 61            | 1       | 
 | 105   | 19348.55  | 70966.07   | 17.357634943872     | 63          | 61             | 65            | 0       | 
 | 106   | 19350.11  | 70946.85   | 19.2815301463643    | 67          | 65             | 69            | 97      | 
 | 107   | 19357.87  | 70929.61   | 18.9086569522866    | 69          | 69             | 69            | 90      | 
 | 108   | 19373.02  | 70917.85   | 19.1745180827909    | 68.5        | 69             | 68            | 83      | 
 | 109   | 19391.55  | 70913.64   | 19.0093771231363    | 69.5        | 68             | 71            | 77      | 
 | 110   | 19411.8   | 70914.12   | 20.2517017544254    | 72.5        | 71             | 74            | 73      | 
 | 111   | 19432.81  | 70917.37   | 21.2635111322229    | 76          | 74             | 78            | 72      | 
 | 112   | 19454.72  | 70921.15   | 22.2301965943849    | 79.5        | 78             | 81            | 72      | 
 | 113   | 19474.96  | 70931.08   | 22.550011219098     | 79.5        | 81             | 78            | 64      | 
 | 114   | 19482.32  | 70947.33   | 17.8355816050783    | 67.5        | 78             | 57            | 52      | 
 | 115   | 19481.31  | 70963.45   | 16.1562202497611    | 57.5        | 57             | 58            | 49      | 
 | 116   | 19480.07  | 70980.28   | 16.8737658014018    | 60.5        | 58             | 63            | 49      | 
 | 117   | 19479.06  | 70998.3    | 18.05170146922      | 65.5        | 63             | 68            | 49      | 
 | 118   | 19476.99  | 71017.59   | 19.3927071657631    | 69          | 68             | 70            | 48      | 
 | 119   | 19472.07  | 71036.27   | 19.3162403620278    | 69          | 70             | 68            | 44      | 
