Sort by Speed (avg)
 | No    | X          | Y         | Distance            | Speed (avg) | Speed (before) | Speed (after) | Heading | 
 | 12059 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12060 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12061 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12062 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12063 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12064 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12065 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12066 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12067 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12068 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12069 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12070 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12071 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12072 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12073 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12074 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12075 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12076 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12077 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12078 | 18675.49   | 70659.52  | 0                   | 0           | 0              | 0             | 5       | 
 | 12079 | 18675.47   | 70659.48  | 0.048828125         | 0           | 0              | 0             | 5       | 
 | 12090 | 18668.36   | 70641.34  | 0.00873464053710855 | 0           | 0              | 0             | 7       | 
 | 9207  | 2343.532   | 21120.48  | 0.0066637422187286  | 0.5         | 1              | 0             | 57      | 
 | 11911 | 19115.07   | 70503.01  | 0.0494105884401309  | 1.5         | 3              | 0             | 6       | 
 | 12080 | 18675.27   | 70658.81  | 0.694434136208215   | 1.5         | 0              | 3             | 5       | 
 | 9210  | 2343.805   | 21121.03  | 0.603677622956698   | 2           | 0              | 4             | 57      | 
 | 11912 | 19114.9    | 70502.55  | 0.491939421607224   | 2           | 0              | 4             | 6       | 
 | 10030 | 126.9865   | 38326.54  | 0.241157125274577   | 2.5         | 5              | 0             | 48      | 
 | 10034 | 126.8732   | 38327.29  | 0.746440064515196   | 2.5         | 0              | 5             | 48      | 
 | 11918 | 18421.5    | 70810.35  | 0.686878270010415   | 2.5         | 0              | 5             | 59      | 
 | 3706  | 4045.299   | 3873.846  | 0.211826992166102   | 3           | 6              | 0             | 37      | 
 | 3711  | 4044.593   | 3874.623  | 0.977593754811325   | 3           | 0              | 6             | 38      | 
 | 12083 | 18674.24   | 70655.42  | 1.00004768257901    | 3           | 3              | 3             | 5       | 
 | 4     | 1724.033   | -51157.16 | 0.78247295980381    | 3.5         | 4              | 3             | 2       | 
 | 11994 | 18677.13   | 70686.16  | 1.0317233762012     | 3.5         | 4              | 3             | 88      | 
 | 12081 | 18674.9    | 70657.56  | 1.30503831361382    | 4           | 3              | 5             | 5       | 
 | 12082 | 18674.54   | 70656.38  | 1.23900344919582    | 4           | 5              | 3             | 5       | 
 | 12089 | 18668.36   | 70641.35  | 1.83965817303202    | 4.5         | 9              | 0             | 7       | 
 | 1     | 1724.458   | -51152.83 | 1.14416764378188    | 5           | 5              | 5             | 6       | 
 | 3     | 1724.175   | -51156.39 | 1.79032640497365    | 5           | 6              | 4             | 1       | 
 | 12084 | 18673.77   | 70654.12  | 1.38633907654522    | 5           | 3              | 7             | 5       | 
 | 2     | 1724.108   | -51154.61 | 1.80766394424351    | 5.5         | 5              | 6             | 4       | 
 | 11914 | 19113.43   | 70498.62  | 1.91975000025435    | 5.5         | 11             | 0             | 6       | 
 | 5     | 1722.924   | -51158.79 | 1.96420879987515    | 6           | 3              | 9             | 6       | 
 | 11995 | 18677.94   | 70684.43  | 1.91691830959592    | 6.5         | 3              | 10            | 91      | 
 | 12001 | 18675.49   | 70659.52  | 1.12867137749176    | 6.5         | 13             | 0             | 5       | 
 | 11913 | 19114.11   | 70500.41  | 2.27545349296197    | 7.5         | 4              | 11            | 6       | 
 | 11993 | 18676.53   | 70687.01  | 2.04741539264485    | 7.5         | 11             | 4             | 86      | 
 | 9211  | 2344.905   | 21123.24  | 2.4714720965521     | 8.5         | 4              | 13            | 57      | 
 | 12085 | 18672.75   | 70651.52  | 2.78693075483166    | 8.5         | 7              | 10            | 6       | 
 | 10035 | 126.5363   | 38329.79  | 2.52260617873845    | 9           | 5              | 13            | 48      | 
 | 11919 | 18422.88   | 70812.35  | 2.42595501214414    | 9           | 5              | 13            | 59      | 
 | 6     | 1720.78    | -51161.13 | 3.17929028038037    | 10.5        | 9              | 12            | 10      | 
 | 3712  | 4042.55    | 3877.011  | 3.14257980356118    | 10.5        | 6              | 15            | 38      | 
 | 12086 | 18671.7    | 70649     | 2.73272341304371    | 10.5        | 10             | 11            | 6       | 
 | 12088 | 18669.13   | 70643.02  | 2.94688960179972    | 10.5        | 12             | 9             | 7       | 
 | 9206  | 2343.529   | 21120.47  | 4.21050180222958    | 11          | 21             | 1             | 57      | 
 | 11910 | 19115.09   | 70503.05  | 3.66376316824362    | 11.5        | 20             | 3             | 6       | 
 | 12087 | 18670.32   | 70645.72  | 3.56148527986311    | 11.5        | 11             | 12            | 6       | 
