Number of total tracking : 31336
Total Time taken : 12:51:49

 | No    | X         | Y          | Heading | Speed | Damage | Date and Time         | 
 | 121   | 138574.3  | 79891.17   | 55      | 1     | 0      | 12/5/2020 7:42:58 PM  | 
 | 123   | 138574.4  | 79891.67   | 55      | 1     | 0      | 12/5/2020 7:43:00 PM  | 
 | 125   | 138575.5  | 79898.16   | 51      | 22    | 0      | 12/5/2020 7:43:02 PM  | 
 | 127   | 138567    | 79908.74   | 33      | 25    | 0      | 12/5/2020 7:43:04 PM  | 
 | 129   | 138554.3  | 79910.06   | 25      | 20    | 0      | 12/5/2020 7:43:06 PM  | 
 | 131   | 138540.1  | 79911.8    | 31      | 33    | 0      | 12/5/2020 7:43:08 PM  | 
 | 133   | 138535.1  | 79932.8    | 51      | 43    | 0      | 12/5/2020 7:43:10 PM  | 
 | 135   | 138539.3  | 79959.19   | 54      | 53    | 0      | 12/5/2020 7:43:12 PM  | 
 | 137   | 138550    | 79988.02   | 57      | 59    | 0      | 12/5/2020 7:43:14 PM  | 
 | 139   | 138563.1  | 80013.91   | 55      | 49    | 0      | 12/5/2020 7:43:16 PM  | 
 | 141   | 138554.5  | 80038.36   | 37      | 54    | 0      | 12/5/2020 7:43:18 PM  | 
 | 143   | 138524.9  | 80057.23   | 35      | 65    | 0      | 12/5/2020 7:43:20 PM  | 
 | 145   | 138492.5  | 80078.48   | 33      | 72    | 0      | 12/5/2020 7:43:22 PM  | 
 | 147   | 138455.4  | 80092.46   | 29      | 80    | 0      | 12/5/2020 7:43:24 PM  | 
 | 149   | 138406.1  | 80105.59   | 29      | 84    | 0      | 12/5/2020 7:43:26 PM  | 
 | 151   | 138365.6  | 80114.27   | 28      | 82    | 0      | 12/5/2020 7:43:28 PM  | 
 | 153   | 138318    | 80125.86   | 29      | 79    | 0      | 12/5/2020 7:43:30 PM  | 
 | 155   | 138277.3  | 80132.09   | 26      | 76    | 0      | 12/5/2020 7:43:32 PM  | 
 | 157   | 138238.1  | 80128.27   | 23      | 73    | 0      | 12/5/2020 7:43:34 PM  | 
 | 159   | 138198    | 80122.18   | 23      | 70    | 0      | 12/5/2020 7:43:36 PM  | 
 | 161   | 138157.2  | 80117.2    | 23      | 67    | 0      | 12/5/2020 7:43:38 PM  | 
 | 163   | 138120.3  | 80116.82   | 26      | 64    | 0      | 12/5/2020 7:43:40 PM  | 
 | 165   | 138086.8  | 80121.35   | 27      | 62    | 0      | 12/5/2020 7:43:42 PM  | 
 | 167   | 138051.2  | 80125.12   | 27      | 59    | 0      | 12/5/2020 7:43:44 PM  | 
 | 169   | 138019.3  | 80128.1    | 27      | 60    | 0      | 12/5/2020 7:43:46 PM  | 
 | 171   | 137986    | 80131.85   | 27      | 59    | 0      | 12/5/2020 7:43:48 PM  | 
 | 173   | 137952.4  | 80137.12   | 28      | 60    | 0      | 12/5/2020 7:43:50 PM  | 
 | 175   | 137920.3  | 80143.48   | 29      | 60    | 0      | 12/5/2020 7:43:52 PM  | 
 | 177   | 137887.2  | 80152.09   | 29      | 59    | 0      | 12/5/2020 7:43:54 PM  | 
 | 179   | 137855.2  | 80162.3    | 30      | 59    | 0      | 12/5/2020 7:43:56 PM  | 
 | 181   | 137824.3  | 80168.56   | 27      | 59    | 0      | 12/5/2020 7:43:58 PM  | 
 | 183   | 137796.3  | 80163.7    | 17      | 47    | 0      | 12/5/2020 7:44:00 PM  | 
 | 185   | 137776.2  | 80142.2    | 12      | 51    | 0      | 12/5/2020 7:44:02 PM  | 
 | 187   | 137750.8  | 80129.34   | 22      | 60    | 0      | 12/5/2020 7:44:04 PM  | 
 | 189   | 137719    | 80127.51   | 29      | 58    | 0      | 12/5/2020 7:44:06 PM  | 
 | 191   | 137689.7  | 80143.57   | 31      | 56    | 0      | 12/5/2020 7:44:08 PM  | 
 | 193   | 137657.3  | 80148.26   | 24      | 60    | 0      | 12/5/2020 7:44:10 PM  | 
 | 195   | 137624.6  | 80143.93   | 23      | 58    | 0      | 12/5/2020 7:44:12 PM  | 
 | 197   | 137592.9  | 80140.8    | 24      | 58    | 0      | 12/5/2020 7:44:14 PM  | 
 | 199   | 137560.5  | 80143.4    | 28      | 57    | 0      | 12/5/2020 7:44:16 PM  | 
 | 201   | 137529.3  | 80152.83   | 30      | 59    | 0      | 12/5/2020 7:44:18 PM  | 
 | 203   | 137498.7  | 80164.72   | 31      | 59    | 0      | 12/5/2020 7:44:20 PM  | 
 | 205   | 137470.6  | 80177.68   | 32      | 54    | 0      | 12/5/2020 7:44:22 PM  | 
 | 207   | 137447.3  | 80186.98   | 26      | 39    | 0      | 12/5/2020 7:44:24 PM  | 
 | 209   | 137428.3  | 80173.74   | 10      | 48    | 0      | 12/5/2020 7:44:26 PM  | 
 | 211   | 137414.9  | 80147.22   | 8       | 56    | 0      | 12/5/2020 7:44:28 PM  | 
 | 213   | 137398.6  | 80117.92   | 8       | 62    | 0      | 12/5/2020 7:44:30 PM  | 
 | 215   | 137379.9  | 80084.81   | 8       | 71    | 0      | 12/5/2020 7:44:32 PM  | 
 | 217   | 137362.5  | 80047.86   | 6       | 78    | 0      | 12/5/2020 7:44:34 PM  | 
 | 219   | 137348.3  | 80002.79   | 4       | 84    | 0      | 12/5/2020 7:44:36 PM  | 
 | 221   | 137339.8  | 79957.16   | 3       | 85    | 0      | 12/5/2020 7:44:38 PM  | 
 | 223   | 137332    | 79910.96   | 3       | 85    | 0      | 12/5/2020 7:44:40 PM  | 
 | 225   | 137324.2  | 79867.69   | 3       | 87    | 0      | 12/5/2020 7:44:42 PM  | 
 | 227   | 137315.6  | 79816.71   | 3       | 89    | 0      | 12/5/2020 7:44:44 PM  | 
 | 229   | 137306.8  | 79767.05   | 3       | 85    | 0      | 12/5/2020 7:44:47 PM  | 
 | 231   | 137298.5  | 79721.23   | 3       | 82    | 0      | 12/5/2020 7:44:48 PM  | 
 | 233   | 137291.2  | 79677.5    | 3       | 68    | 0      | 12/5/2020 7:44:50 PM  | 
 | 235   | 137285.3  | 79646.83   | 4       | 50    | 0      | 12/5/2020 7:44:53 PM  | 
 | 237   | 137264.2  | 79632.78   | 24      | 43    | 0      | 12/5/2020 7:44:54 PM  | 
 | 239   | 137237.9  | 79636.81   | 28      | 54    | 0      | 12/5/2020 7:44:56 PM  | 
 | 241   | 137209    | 79647.03   | 35      | 59    | 0      | 12/5/2020 7:44:58 PM  | 
 | 243   | 137189    | 79676.91   | 43      | 68    | 0      | 12/5/2020 7:45:00 PM  | 
 | 245   | 137172.2  | 79713.13   | 42      | 75    | 0      | 12/5/2020 7:45:02 PM  | 
 | 247   | 137143    | 79742.22   | 33      | 83    | 0      | 12/5/2020 7:45:04 PM  | 
 | 249   | 137096.6  | 79755.3    | 28      | 90    | 0      | 12/5/2020 7:45:06 PM  | 
